time,chlora,obs,lon,lat,depth
2021-03-10 00:46:36.551378432,0.0321,3278246,-125.3896636,44.52894899,134.78991737422456
2021-03-10 00:46:42.192476160,0.0,3278251,-125.3896636,44.52894899,134.5342084968929
2021-03-10 00:46:48.961806336,0.0,3278257,-125.3896636,44.52894899,134.17811218892285
2021-03-10 00:46:52.346429952,0.0,3278260,-125.3896636,44.52894899,133.99279634347207
2021-03-10 00:46:57.985966592,0.0,3278265,-125.3896636,44.52894899,133.78230436096746
2021-03-10 00:47:04.754167808,0.0,3278271,-125.3896636,44.52894899,133.39082462087686
2021-03-10 00:47:05.882381824,0.0,3278272,-125.3896636,44.52894899,133.33854057743184
2021-03-10 00:47:11.523470848,0.0107,3278277,-125.3896636,44.52894899,133.11202161405552
2021-03-10 00:47:17.164491264,0.0,3278282,-125.3896636,44.52894899,132.82039761522825
2021-03-10 00:47:21.677536256,0.0,3278286,-125.3896636,44.52894899,132.60777784375645
2021-03-10 00:47:29.574871552,0.0107,3278293,-125.3896636,44.52894899,132.19202623856265
2021-03-10 00:47:38.600520704,0.0,3278301,-125.3896636,44.52894899,131.82973231199682
2021-03-10 00:47:39.728781824,0.0214,3278302,-125.3896636,44.52894899,131.76278901417007
2021-03-10 00:48:03.418848768,0.0,3278323,-125.3896636,44.52894899,130.58299622595248
2021-03-10 00:48:29.367788032,0.0,3278346,-125.3896636,44.52894899,129.25880533562122
2021-03-10 00:48:36.137105920,0.0,3278352,-125.3896636,44.52894899,129.00733625537327
2021-03-10 00:49:07.724389376,0.0,3278380,-125.3896636,44.52894899,127.37871021715956
2021-03-10 00:49:16.750002688,0.0107,3278388,-125.3896636,44.52894899,127.00844427220144
2021-03-10 00:49:17.878213632,0.0,3278389,-125.3896636,44.52894899,126.92643573827027
2021-03-10 00:49:34.801513984,0.0,3278404,-125.3896636,44.52894899,126.08124107024457
2021-03-10 00:49:39.314437632,0.0,3278408,-125.3896636,44.52894899,125.84358416642397
2021-03-10 00:49:41.570909696,0.0,3278410,-125.3896636,44.52894899,125.75771714993837
2021-03-10 00:50:21.056175104,0.0,3278445,-125.3896636,44.52894899,123.82919890786735
2021-03-10 00:50:31.210360320,0.0,3278454,-125.3896636,44.52894899,123.3969923649467
2021-03-10 00:50:53.774451712,0.0,3278474,-125.3896636,44.52894899,122.30446445597542
2021-03-10 00:51:07.310743552,0.0,3278486,-125.3896636,44.52894899,121.72479450149334
2021-03-10 00:51:08.438946304,0.0,3278487,-125.3896636,44.52894899,121.67047605387896
2021-03-10 00:51:11.823634944,0.0,3278490,-125.3896636,44.52894899,121.44768319671681
